"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
4871,"Determining the Effect of Spironolactone on Electrolyte Supplementation in Preterm Infants With Chronic Lung Disease","Unknown status","No Results Available","Chronic Lung Disease|Bronchopulmonary Dysplasia","Drug: Spironolactone|Drug: Placebo","West Virginia University Healthcare, Morgantown, West Virginia, United States","https://ClinicalTrials.gov/show/NCT01721655"
4872,"Outcomes Mandate National Integration With Cannabis as Medicine","Recruiting","No Results Available","Chronic Pain|Chronic Pain Syndrome|Chronic Pain Due to Injury|Chronic Pain Due to Trauma|Fibromyalgia|Seizures|Hepatitis C|Cancer|Crohn Disease|HIV/AIDS|Multiple Sclerosis|Traumatic Brain Injury|Sickle Cell Disease|Post Traumatic Stress Disorder|Tourette Syndrome|Ulcerative Colitis|Glaucoma|Epilepsy|Inflammatory Bowel Diseases|Parkinson Disease|Amyotrophic Lateral Sclerosis|Chronic Traumatic Encephalopathy|Anxiety|Depression|Insomnia|Autism|Opioid-use Disorder|Bipolar Disorder","Drug: Cannabis, Medical","OMNI Medical Services, Boca Raton, Florida, United States|OMNI Medical Services, Bradenton, Florida, United States|OMNI Medical Services, Fort Lauderdale, Florida, United States|OMNI Medical Services, Fort Myers, Florida, United States|OMNI Medical Services, Gainesville, Florida, United States|OMNI Medical Services, Merritt Island, Florida, United States|OMNI Medical Services, Miami, Florida, United States|OMNI Medical Services, Ocoee, Florida, United States|OMNI Medical Services, Pensacola, Florida, United States|OMNI Medical Services, Pompano Beach, Florida, United States|OMNI Medical Services, Tampa, Florida, United States|OMNI Medical Services, Wesley Chapel, Florida, United States|OMNI Medical Services, Beechwood, Ohio, United States|OMNI Medical Services, Bowling Green, Ohio, United States|OMNI Medical Services, Sandusky, Ohio, United States|OMNI Medical Services, Toledo, Ohio, United States|OMNI Medical Services, Toledo, Ohio, United States","https://ClinicalTrials.gov/show/NCT03944447"
4873,"Effectiveness and Acceptability of Stellate Ganglion Block for Posttraumatic Stress Disorder Symptoms - Acceptability","Completed","No Results Available","Posttraumatic Stress Disorder",,"Tripler Army Medical Center (TAMC), Honolulu, Hawaii, United States|Womack Army Medical Center (WAMC), Fort Bragg, North Carolina, United States|Landstuhl Regional Medical Center (LRMC), Landstuhl, Germany","https://ClinicalTrials.gov/show/NCT03302312"
4874,"Effectiveness and Acceptability of Stellate Ganglion Block for Posttraumatic Stress Disorder Symptoms - Effectiveness","Completed","No Results Available","PostTraumatic Stress Disorder","Drug: Ropivacaine|Drug: Sham treatment","Tripler Army Medical Center (TAMC), Honolulu, Hawaii, United States|Womack Army Medical Center (WAMC), Fort Bragg, North Carolina, United States|Landstuhl Regional Medical Center (LRMC), Landstuhl, Germany","https://ClinicalTrials.gov/show/NCT03077919"
4875,"Prospective Evaluation of Family Care Rituals in the ICU","Completed","No Results Available","Stress Disorders, Post-Traumatic|Depression|Anxiety","Behavioral: Family Care Rituals","Rush University Medical Center, Chicago, Illinois, United States|Brown University, Providence, Rhode Island, United States|Azienda Ospedaliero-Universitaria Careggi, Florence, Italy","https://ClinicalTrials.gov/show/NCT02875912"
4876,"Develop and Validate Ultrasonic Device for Osteoporotic Fracture Risk Assessment","Completed","No Results Available","Osteoporosis|Fracture|Aging",,"Mayo Clinic Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01123421"
4877,"Implementation of Lung Protective Ventilation in Patients With Acute Respiratory Failure","Recruiting","No Results Available","Acute Respiratory Distress Syndrome|ARDS|Respiratory Distress Syndrome, Acute|Respiratory Insufficiency|Respiratory Distress Syndrome|Shock Lung|Severe Acute Respiratory Syndrome",,"Colin Grissom, Murray, Utah, United States","https://ClinicalTrials.gov/show/NCT03225807"
4878,"Efficacy of PRP (Platelet Rich Plasma) Following Arthroscopic Microfracture of Chondral Lesions of the Hip","Withdrawn","No Results Available","Femoroacetabular Impingement|Chondral Lesions","Biological: Platelet-rich plasma (PRP)|Drug: Saline","University of Colorado Denver, CU Sports Medicine, Boulder, Colorado, United States","https://ClinicalTrials.gov/show/NCT02183896"
4879,"StrataGraft Skin Tissue Expanded Access at Specific Study Sites","Temporarily not available","No Results Available","Deep Partial-thickness Burn","Biological: StrataGraft skin tissue","University of South Alabama Medical Center, Mobile, Alabama, United States|Arizona Burn Center, Phoenix, Arizona, United States|University of California Irvine, Orange, California, United States|MedStar Health Research Institute, Washington, District of Columbia, United States|University of Florida (Health Shands Burn Center), Gainesville, Florida, United States|Tampa General Hospital - Regional Burn Center, Tampa, Florida, United States|University of Iowa, Iowa City, Iowa, United States|Baton Rouge Medical Center, Baton Rouge, Louisiana, United States|University Medical Center New Orleans, New Orleans, Louisiana, United States|University of Missouri, Columbia, Missouri, United States|Wake Forest University, Winston-Salem, North Carolina, United States|University of Pittsurgh Medical Center, Pittsburgh, Pennsylvania, United States|Regional Medical Center Firefighters Burn Center, Memphis, Tennessee, United States|University of Wisconsin Hospital, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT04123548"
4880,"Randomized Trial of Hydrocortisone in Very Preterm High-Risk Infants","Completed","Has Results","Bronchopulmonary Dysplasia|Encephalomalacia|Premature Birth","Drug: Hydrocortisone|Drug: Placebo","Nationwide Children's Hospital, Columbus, Ohio, United States","https://ClinicalTrials.gov/show/NCT00167544"
4881,"Short-Term Exposure for PTSD","Recruiting","No Results Available","Chronic Post-Traumatic Stress Disorder|Marijuana Abuse","Behavioral: Brief Imaginal Exposure","University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT02874898"
4882,"Phase II Evaluation of Exhaled Nitric Oxide (NO)","Completed","No Results Available","Lung Cancer","Procedure: Nitric oxide breath test|Behavioral: Questionnaires","UT MD Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT01392144"
4883,"Study of Four Different Potencies of Smoked Marijuana in 76 Veterans With PTSD","Completed","No Results Available","Posttraumatic Stress Disorder","Drug: High THC Marijuana|Drug: High CBD Marijuana|Drug: High THC/high CBD marijuana|Drug: Placebo marijuana","Scottsdale Research Institute, Phoenix, Arizona, United States","https://ClinicalTrials.gov/show/NCT02759185"
4884,"Improving Osteoporosis Care in High-Risk Home Health Patients","Completed","No Results Available","Patient Compliance|Communication|Osteoporosis|Fractures, Bone","Behavioral: nurse-patient communication","University of Alabama at Birmingham Department of Rheumatology, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT00679198"
4885,"Improving Functional Outcomes of Veterans With PTSD and Tobacco Dependence","Active, not recruiting","No Results Available","Tobacco|Posttraumatic Stress Disorder","Behavioral: Acceptance and Commitment Therapy for PTSD and Tobacco Use|Behavioral: Freedom From Smoking","Edith Nourse Rogers Memorial Veterans Hospital, Bedford, MA, Bedford, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT02576899"
4886,"Evaluation of Vitamin D Status in Children With Acute Burns","Completed","No Results Available","Burns|Bone Demineralization","Dietary Supplement: Vitamin D2|Dietary Supplement: Vitamin D3","Shriners Hospital for Children, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT00536276"
4887,"Assessment of the Pulmonary Diffusion Capacity in Healthy Infants and Infants With Chronic Lung Disease","Completed","No Results Available","Infant, Premature|Bronchopulmonary Dysplasia|Asthma",,"Riley Hospital for Children, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT00428038"
4888,"A Longitudinal Outcomes Study of the Subchondroplasty® Procedure in the Foot/Ankle","Recruiting","No Results Available","Insufficiency Fractures|Stress Fracture|Stress Fracture, Ankle, Foot and Toes","Device: Treatment of insufficiency fractures","OrthoArizona, Mesa, Arizona, United States|The CORE Institute, Sun City, Arizona, United States|OrthoNorcal, Capitola, California, United States|Eisenhower Desert Orthopedic Center, Rancho Mirage, California, United States|Stanford University Medical Center, Orthopedics, Redwood City, California, United States|University of California, Davis, Sacramento, California, United States|Capital Orthopaedics and Sports Medicine, Clive, Iowa, United States|OrthoCarolina, Charlotte, North Carolina, United States|Podiatry Center of the Lehigh Valley, Bethlehem, Pennsylvania, United States|Rothman Institute, Bryn Mawr, Pennsylvania, United States|Premier Orthopaedics & Sports Medicine, Exton, Pennsylvania, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|St. Paul's Hospital (Providence Health), Vancouver, British Columbia, Canada","https://ClinicalTrials.gov/show/NCT03087396"
4889,"NHLBI DIR LAMPOON Study: Intentional Laceration of the Anterior Mitral Leaflet to Prevent Left Ventricular Outflow Tract Obstruction During Transcatheter Mitral Valve Implantation","Active, not recruiting","No Results Available","Mitral Valve Failure","Device: Edwards SAPIEN 3 transcatheter heart valve|Device: ASHI INTECC Astato XS 20","Medstar Washington Hospital Center, Cardiovascular Research Program, Washington, District of Columbia, United States|Emory University, Atlanta, Georgia, United States|St. John's Hospital (enrollment), Springfield, IL; Prairie Education, Springfield, Illinois, United States|Henry Ford Hospital, Detroit, Michigan, United States|INOVA Fairfax Hospital, Falls Church, Virginia, United States|Carilion Medical Center, Roanoke, Virginia, United States|University of Washington Division of Cardiology, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT03015194"
4890,"Diagnosing Extremity Fractures and/or Dislocations Using Ultrasound Presenting to the Emergency Department","Terminated","No Results Available","Fractures|Dislocations","Procedure: Ultrasound","Brooke Army Medical Center, Fort Sam Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00356837"
4891,"Tobacco Treatment as Augmentation for Cognitive Processing Therapy for PTSD","Terminated","Has Results","Posttraumatic Stress Disorder|Tobacco Dependence","Behavioral: Tobacco treatment|Behavioral: Health Education","VA Boston Healthcare System Jamaica Plain Campus, Jamaica Plain, MA, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT02012452"
4892,"CMF Bone Stimulation as Adjunct to Surgical Treatment of Ankle Fractures","Recruiting","No Results Available","Bimalleolar Ankle Fractures","Device: Active Combined Magnetic Field OL1000 Bone Growth Stimulator|Device: Sham Combined Magnetic Field OL1000 Bone Growth Stimulator","University of Arizona, Tucson, Arizona, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|Orthopaedic Associates of South Broward, P.A., Hollywood, Florida, United States|OrlandoHealth, Orlando, Florida, United States|William Beaumont Hospital, Royal Oak, Michigan, United States|Rutgers Biomedical Health Sciences, Newark, New Jersey, United States|University of Rochester, Rochester, New York, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Virginia, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT02688855"
4893,"Thoracolumbar Burst Fractures Study Comparing Surgical Versus Non-surgical Treatment","Recruiting","No Results Available","Thoracolumbar Burst Fracture",,"University of California, San Diego Medical Center, San Diego, California, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|SUNY Upstate, East Syracuse, New York, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|University of Utah, Salt Lake City, Utah, United States|West Virginia University, Morgantown, West Virginia, United States|Alfred Health operating through the Alfred hospital, Melbourne, Australia|Hopital l'Enfant-Jesus, CHU de Quebec, Québec, Canada|Vancouver General Hospital, Vancouver, Canada|Assiut University Hospitals, Assiut, Egypt|KAT Hospital, Kifisiá, Greece|Ganga Hospital, Coimbatore, India|UMC Utrecht, Utrecht, Netherlands|Hamad General Hospital, Doha, Qatar|Clinical Hospital ""Prof. N.Oblu"", Iasi, Romania|Hospital Universitario Costa del Sol, Marbella, Spain|Inselspital, University of Bern, Bern, Switzerland|Uludag University Medical School, Nilufer, Turkey","https://ClinicalTrials.gov/show/NCT02827214"
